         410855 function calls (410654 primitive calls) in 15.591 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      355    0.004    0.000    0.004    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\tqdm\std.py:231(__call__)
        1    0.000    0.000    0.004    0.004 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\linalg\_eigen\arpack\arpack.py:1362(eigsh)
      259    0.000    0.000    0.004    0.000 z:\CODING\UNI\BIG_DATA\src\loader.py:3(image_generator)
       65    0.001    0.000    0.004    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\linalg\_eigen\arpack\arpack.py:543(iterate)
      516    0.001    0.000    0.003    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\numpy\lib\format.py:359(header_data_from_array_1_0)
      258    0.001    0.000    0.003    0.000 Z:\Python311\Lib\threading.py:440(acquire)
      251    0.002    0.000    0.003    0.000 Z:\Python311\Lib\threading.py:1192(is_alive)
       64    0.000    0.000    0.003    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\linalg\_interface.py:227(matvec)
      338    0.002    0.000    0.003    0.000 Z:\Python311\Lib\threading.py:243(__init__)
     1286    0.002    0.000    0.003    0.000 Z:\Python311\Lib\threading.py:274(__exit__)
       67    0.000    0.000    0.003    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_base.py:773(_matmul_dispatch)
       64    0.000    0.000    0.003    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\linalg\_interface.py:215(_matvec)
       64    0.000    0.000    0.002    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\linalg\_interface.py:333(matmat)
     1286    0.002    0.000    0.002    0.000 Z:\Python311\Lib\threading.py:271(__enter__)
      123    0.001    0.000    0.002    0.000 {method 'format' of 'str' objects}
    30/26    0.000    0.000    0.002    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_compressed.py:30(__init__)
      258    0.002    0.000    0.002    0.000 {built-in method torch.from_numpy}
      121    0.002    0.000    0.002    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\tqdm\std.py:400(format_interval)
      217    0.001    0.000    0.002    0.000 Z:\Python311\Lib\threading.py:601(clear)
      516    0.002    0.000    0.002    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\numpy\lib\format.py:245(dtype_to_descr)
      530    0.001    0.000    0.002    0.000 Z:\Python311\Lib\threading.py:283(_acquire_restore)
