         2609379 function calls (2609282 primitive calls) in 9.795 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\re\_compiler.py:216(_compile_charset)
        1    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\contextlib.py:104(__init__)
       12    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\site-packages\numpy\lib\arraysetops.py:125(_unpack_tuple)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       50    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       14    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       13    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        8    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:844(__init__)
        1    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\bz2.py:26(BZ2File)
       50    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:1130(__init__)
        8    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:597(format)
        8    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\enum.py:202(__get__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:2107(consume_positionals)
        5    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        8    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:588(_metavar_formatter)
        5    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       20    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       10    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\enum.py:1129(__new__)
       10    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        7    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
        8    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:1633(_check_conflict)
       28    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        8    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
        5    0.000    0.000    0.000    0.000 c:\Users\Asus Zenbook\OneDrive\Dokumente\GITHUB\BigData\src\similarity\color.py:155(<genexpr>)
       16    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\re\_parser.py:83(groups)
        5    0.000    0.000    0.000    0.000 c:\Users\Asus Zenbook\OneDrive\Dokumente\GITHUB\BigData\src\similarity\color.py:221(<genexpr>)
